Obs;HHMMSS;Treatment;Tree;aux1;FTime;EBal?;Photo;Cond;Ci;Trmmol;VpdL;CTleaf;Area;BLC_1;StmRat;BLCond;Tair;Tleaf;TBlk;CO2R;CO2S;H2OR;H2OS;RH_R;RH_S;Flow;PARi;PARo;Press;CsMch;HsMch;StableF;BLCslope;BLCoffst;f_parin;f_parout;alphaK;Status;fda;Trans;Tair_K;Twall_K;R(W/m2);Tl-Ta;SVTleaf;h2o_i;h20diff;CTair;SVTair;CndTotal;vp_kPa;VpdA;CndCO2;Ci_Pa;Ci/Ca;RHsfc;C2sfc;AHs/Cs
1;14:57:21;;;0;137;1;12,29496005;0,128322085;221,3174972;2,70673301;1,953895372;26,50548164;2,8;5;0;5;27,71133995;25,98186493;27,93361092;400,9752197;388,5042114;13,91756248;16,40524292;34,61738968;40,80503845;299,6574402;1499,088989;177,7134399;92,81292725;16,91073227;0,590338111;1;0;5;1;0;0,159999996;111115;1,070205144;0,002706733;299,1318649;300,86134;239,8542329;0,523616711;3,47651399;37,45721736;21,05197444;25,98186493;3,370639179;0,12511118;1,522618618;1,848020561;0,078476764;20,54112477;0,569665632;43,68702137;385,1845722;0,013944748
2;14:59:22;;;0;258;1;8,645508392;0,130031889;174,5056979;2,753620376;1,962135171;26,56718432;2,8;5;0;5;27,75266075;26,05208015;27,93299294;300,1512146;291,3221436;13,92144108;16,45241928;34,54462433;40,82498932;299,6188049;1499,783691;172,7658234;92,81578827;16,91073227;0,590338111;1;0;5;1;0;0,159999996;111115;1,07006716;0,00275362;299,2020802;300,9026608;239,9653853;0,515104169;3,489179435;37,59252063;21,14010135;26,05208015;3,384671079;0,126735946;1,527044264;1,857626815;0,079499636;16,19688391;0,599012817;43,66831435;288,9878563;0,013064036
3;15:01:53;;;0;409;1;2,480191755;0,125450339;178,2236023;2,743919094;2,024064935;26,89604926;2,8;5;0;5;27,82978058;26,39055824;27,97027016;220,4864655;217,6107941;13,99741173;16,51918983;34,57843781;40,80809784;299,6321106;1499,897095;172,6942139;92,81938934;19,66569138;0,56968534;1;0;5;1;0;0,159999996;111115;1,070114681;0,002743919;299,5405582;300,9797806;239,9835298;0,505491019;3,557366048;38,32567821;21,80648838;26,39055824;3,453031137;0,122379821;1,533301113;1,919730024;0,076757453;16,54260593;0,819001663;42,92977141;216,9411423;0,00490797
4;15:04:24;;;0;559,5;1;0,222345963;0,126555156;131,6044459;2,755098423;2,014825404;26,88487128;2,8;5;0;5;27,77740669;26,38229179;27,93248558;139,8631287;139,2966766;14,0625267;16,5945797;34,84353638;41,11734772;299,6090698;1501,334595;161,1850128;92,81368256;18,362957;0,57286489;1;0;5;1;0;0,159999996;111115;1,070032392;0,002755098;299,5322918;300,9274067;240,2135298;0,502579486;3,555029456;38,30285965;21,70827995;26,38229179;3,451347366;0,123430991;1,540204052;1,911143314;0,077419102;12,21469327;0,944778075;43,16366379;139,2366432;0,000689277
5;15:06:55;;;0;710,5;1;-1,991376666;0,125913303;85,00051947;2,737493421;2,011744404;26,88439963;2,8;5;0;5;27,74637413;26,38077354;27,94187927;60,05475998;61,75773621;14,11205292;16,62773705;35,02751923;41,271698;299,6214905;1500,405884;141,0424957;92,80796814;16,94842148;0,577015281;0,666666687;0;5;1;0;0,159999996;111115;1,070076752;0,002737493;299,5307735;300,8963741;240,064936;0,503626085;3,554930894;38,30415605;21,676419;26,38077354;3,451038196;0,122820359;1,54318649;1,907851706;0,077034741;7,888725503;1,376354198;43,24089091;62,29540791;-0,013822672
6;15:09:55;;;0;890,5;1;12,14355463;0,125437427;218,9264739;2,698991323;1,990955997;26,76831193;2,8;5;0;5;27,705513;26,25434303;27,96364212;400,1423035;387,817688;14,11221981;16,59223747;35,10927582;41,27922058;299,666626;1500,960938;128,2609253;92,80171967;16,94842148;0,577015281;1;0;5;1;0;0,159999996;111115;1,07023795;0,002698991;299,404343;300,855513;240,1537446;0,513968897;3,530744167;38,04610712;21,45386965;26,25434303;3,425377101;0,122367534;1,539788171;1,885588931;0,076749719;20,31675326;0,564508739;43,44589629;384,5389282;0,013720005
7;15:12:11;;;0;1026,5;1;15,49283501;0,12459961;268,7285408;2,637378762;1,958866677;26,56604015;2,8;5;0;5;27,67050552;26,03401756;27,9488678;500,6266785;484,9538879;14,06335354;16,48727226;35,06003952;41,1028862;299,6349487;1500,856201;128,7431183;92,80355835;16,94842148;0,577015281;1;0;5;1;0;0,159999996;111115;1,070124817;0,002637379;299,1840176;300,8205055;240,1369868;0,53202259;3,48894421;37,59494002;21,10766776;26,03401756;3,381056562;0,121570093;1,530077533;1,850979029;0,076247805;24,93896481;0,55413215;43,69766245;480,7708225;0,014081567
8;15:14:12;;;0;1148;1;22,17569649;0,125109953;467,4945551;2,614984639;1,934833945;26,4194582;2,8;5;0;5;27,68634605;25,87621498;27,93784904;801,0736694;778,4501953;14,01985073;16,42320633;34,91827393;40,9041481;299,6521606;1500,920166;131,0184326;92,80096436;16,94842148;0,577015281;1;0;5;1;0;0,159999996;111115;1,070186288;0,002614985;299,026215;300,8363461;240,1472212;0,543243219;3,45892333;37,27249339;20,84928706;25,87621498;3,349621698;0,122055873;1,524089385;1,825532313;0,076553555;43,38394554;0,600545234;43,92247558;772,4627573;0,012609171
9;15:16:13;;;0;1269;1;25,24636955;0,119667355;602,8485762;2,598998843;2,007474244;26,75834264;2,8;5;0;5;27,71025085;26,2273941;27,92256165;1001,259705;975,302063;14,00437546;16,39296913;34,82913208;40,76960373;299,6701355;1499,595825;136,9399567;92,79585266;16,94842148;0,577015281;1;0;5;1;0;0,159999996;111115;1,070250484;0,002598999;299,3773941;300,8602509;239,9353267;0,530948533;3,528673792;38,0262015;21,63323237;26,2273941;3,419928981;0,116870245;1,521199548;1,898729432;0,073290159;55,94184765;0,618114735;42,88535949;968,4855432;0,011179306
10;15:18:38;;;0;1414;1;29,05473228;0,121328544;1034,169927;2,574042349;1,961944048;26,54776573;2,8;5;0;5;27,76426506;26,00003433;27,9358139;1499,328369;1468,646729;14,05023479;16,41597748;34,83106232;40,69582748;299,6523438;1500,422974;140,12323;92,79039764;16,94842148;0,577015281;1;0;5;1;0;0,159999996;111115;1,070186942;0,002574042;299,1500343;300,9142651;240,0676704;0,547731394;3,485189126;37,55980375;21,14382628;26,00003433;3,374265294;0,118454169;1,523245078;1,851020216;0,074286844;95,96103877;0,704165207;43,51548697;1460,801951;0,008655046
